id,english_name,french_name
1,Aboriginal Affairs and Northern Development Canada (AANDC),Affaires autochtones et Développement du Nord Canada (AADNC)
2,Agriculture and Agri-Food Canada (AAFC),Agriculture et Agroalimentaire Canada (AAC)
3,Atlantic Canada Opportunities Agency (ACOA),Agence de promotion économique du Canada atlantique (APECA)
4,Canada Border Services Agency (CBSA),Agence des services frontaliers du Canada (AFSA)
5,Canada Economic Development for Quebec Regions (CED),Agence de développement économique du Canada pour les régions du Québec (DEC)
6,Canada Mortgage and Housing Corporation (CMHC),Société canadienne d'hypothèques et de logement (SCHL)
7,Canada Revenue Agency (CRA),Agence du revenu du Canada (ARC)
8,Canada School of Public Service (CSPS),École de la fonction publique du Canada (EFPC)
9,Canadian Food Inspection Agency (CFIA),Agence canadienne d'inspection des aliments (ACIA)
10,Canadian Heritage (PCH),Patrimoine canadien (PCH)
11,Canadian Institutes of Health Research (CIHR),Instituts de recherche en santé du Canada (IRSC)
12,Canadian Northern Economic Development Agency (CanNor),Agence canadienne de développement économique du Nord (CanNor)
13,Canadian Nuclear Safety Commission (CNSC),Commission canadienne de sûreté nucléaire (CCSN)
14,Canadian Space Agency (CSA),Agence spatiale canadienne (ASC)
15,Citizenship and Immigration Canada (CIC),Citoyenneté et Immigration Canada (CIC)
16,Correctional Service Canada (CSC),Service correctionnel du Canada (SCC)
17,Department of Finance Canada (FIN),Ministère des Finances (FIN)
18,Department of Justice (JUS),Ministère de la Justice (JUS)
19,Employment and Social Development Canada (ESDC),Emploi et Développement social Canada (EDSC)
20,Environment Canada (EC),Environnement Canada (EC)
21,Federal Economic Development Agency for Southern Ontario (FedDev Ontario),Agence fédérale de développement économique pour le Sud de l'Ontario (FedDev Ontario)
22,Financial Transactions and Reports Analysis Centre of Canada (FINTRAC),Centre d'analyse des opérations et déclarations financières du Canada (CANAFE)
23,Fisheries and Oceans Canada (DOF),Ministère des Pêches et des Océans (MPO)
24,"Foreign Affairs, Trade and Development Canada (DFATD)","Ministère des Affaires étrangères, du Commerce et du Développement (MAECD)"
25,Health Canada (HC),Santé Canada (SC)
26,Immigration and Refugee Board of Canada (IRB),Commission de l'immigration et du statut de réfugié (CISR)
27,Industry Canada (IC),Industrie Canada (IC)
28,Infrastructure Canada (INFC),Infrastructure Canada (INFC)
29,Library and Archives Canada (LAC),Bibliothèque et Archives Canada (BAC)
30,National Defence and the Canadian Armed Forces (DND),Défense nationale et les Forces armées canadiennes (MDN)
31,National Research Council Canada (NRC),Conseil national de recherches du Canada (CNRC)
32,Natural Resources Canada (NRCan),Ressources naturelles Canada (RNCan)
33,Parks Canada (PC),Agence Parcs Canada (PC)
34,Passport Canada (PPTC),Passeport Canada (PPTC)
35,Privy Council Office (PCO),Bureau du Conseil privé (BCP)
36,Public Health Agency of Canada (PHAC),Agence de la santé publique du Canada (ASPC)
37,Public Safety Canada (PS),Sécurité publique Canada (SP)
38,Public Service Commission of Canada (PSC),Commission de la fonction publique (CFP)
39,Public Works and Government Services Canada (PWGSC),Travaux publics et Services gouvernementaux Canada (TPSGC)
40,Royal Canadian Mounted Police (RCMP),Gendarmerie royale du Canada (GRC)
41,Shared Services Canada (SSC),Services partagés Canada (SPC)
42,Statistics Canada (StatCan),Statistique Canada (StatCan)
43,Translation Bureau (TB),Bureau de la traduction (BT)
44,Transport Canada (TC),Transports Canada (TC)
45,Treasury Board of Canada Secretariat (TBS),Secrétariat du Conseil du Trésor du Canada (SCT)
46,Veterans Affairs Canada (VAC),Anciens Combattants Canada (ACC)
47,Western Economic Diversification Canada (WD),Diversification de l'économie de l'Ouest Canada (DEO)
